external_id,customer_external_id,ordered_at,status,total_amount,discount_amount,delivery_fee,currency,channel,coupon_code,delivery_city
ORD-00001-01,CUST-00001,2026-01-06T18:57:00.262656,COMPLETED,152.95,0.00,0.00,NZD,android,,Wellington
ORD-00001-02,CUST-00001,2026-02-03T19:32:00.262656,COMPLETED,57.98,0.00,7.99,NZD,android,,Wellington
ORD-00001-03,CUST-00001,2026-03-07T20:44:00.262656,COMPLETED,29.23,3.75,7.99,NZD,web,RESTOCK20,Wellington
ORD-00001-04,CUST-00001,2026-08-11T11:14:00.262656,COMPLETED,37.73,5.25,7.99,NZD,web,GIMME10,Wellington
ORD-00002-01,CUST-00002,2025-11-24T21:11:00.262656,COMPLETED,44.77,9.20,7.99,NZD,android,WELCOME15,Dunedin
ORD-00002-02,CUST-00002,2025-11-22T21:38:00.262656,COMPLETED,19.68,1.30,7.99,NZD,web,RESTOCK20,Dunedin
ORD-00002-03,CUST-00002,2025-11-21T21:18:00.262656,COMPLETED,26.38,4.60,7.99,NZD,web,GIMME10,Dunedin
ORD-00002-04,CUST-00002,2025-12-15T21:50:00.262656,CANCELLED,58.37,5.60,7.99,NZD,android,GIMME10,Dunedin
ORD-00002-05,CUST-00002,2026-01-31T19:16:00.262656,COMPLETED,79.03,13.95,0.00,NZD,android,RESTOCK20,Dunedin
ORD-00002-06,CUST-00002,2026-03-12T20:52:00.262656,COMPLETED,67.98,15.00,7.99,NZD,web,WELCOME15,Dunedin
ORD-00002-07,CUST-00002,2026-04-26T17:25:00.262656,COMPLETED,57.48,5.50,7.99,NZD,web,WELCOME15,Dunedin
ORD-00002-08,CUST-00002,2026-06-12T18:26:00.262656,COMPLETED,86.38,21.60,0.00,NZD,android,GIMME10,Dunedin
ORD-00002-09,CUST-00002,2026-07-30T11:33:00.262656,COMPLETED,49.62,7.35,7.99,NZD,web,GIMME10,Dunedin
ORD-00003-01,CUST-00003,2025-07-07T17:57:00.262656,COMPLETED,37.98,0.00,7.99,NZD,web,,Wellington
ORD-00003-02,CUST-00003,2025-07-08T19:16:00.262656,COMPLETED,223.96,0.00,0.00,NZD,web,,Wellington
ORD-00003-03,CUST-00003,2025-07-10T20:37:00.262656,COMPLETED,108.95,0.00,0.00,NZD,web,,Wellington
ORD-00003-04,CUST-00003,2025-07-08T17:22:00.262656,COMPLETED,80.99,9.00,0.00,NZD,web,RESTOCK20,Wellington
ORD-00003-05,CUST-00003,2025-07-28T14:50:00.262656,COMPLETED,52.98,5.00,7.99,NZD,web,RESTOCK20,Wellington
ORD-00004-01,CUST-00004,2025-10-02T21:05:00.262656,COMPLETED,149.97,0.00,0.00,NZD,web,,Auckland
ORD-00004-02,CUST-00004,2025-10-03T20:30:00.262656,COMPLETED,135.97,0.00,0.00,NZD,web,,Auckland
ORD-00004-03,CUST-00004,2025-09-30T11:04:00.262656,COMPLETED,151.92,0.00,0.00,NZD,android,,Auckland
ORD-00004-04,CUST-00004,2025-09-30T18:35:00.262656,CANCELLED,71.96,0.00,7.99,NZD,web,,Auckland
ORD-00004-05,CUST-00004,2025-10-15T19:38:00.262656,COMPLETED,154.97,0.00,0.00,NZD,web,,Auckland
ORD-00004-06,CUST-00004,2025-11-08T19:26:00.262656,COMPLETED,54.37,11.60,7.99,NZD,web,WELCOME15,Auckland
ORD-00004-07,CUST-00004,2025-11-22T20:40:00.262656,COMPLETED,154.97,0.00,0.00,NZD,web,,Auckland
ORD-00004-08,CUST-00004,2025-12-10T14:03:00.262656,COMPLETED,65.96,0.00,7.99,NZD,ios,,Auckland
ORD-00004-09,CUST-00004,2025-12-25T21:07:00.262656,COMPLETED,100.95,0.00,0.00,NZD,web,,Auckland
ORD-00004-10,CUST-00004,2026-01-17T16:45:00.262656,COMPLETED,168.95,0.00,0.00,NZD,android,,Auckland
ORD-00004-11,CUST-00004,2026-02-04T14:08:00.262656,COMPLETED,83.97,0.00,0.00,NZD,ios,,Auckland
ORD-00004-12,CUST-00004,2026-02-19T17:32:00.262656,COMPLETED,215.92,0.00,0.00,NZD,ios,,Auckland
ORD-00004-13,CUST-00004,2026-03-08T19:38:00.262656,COMPLETED,99.96,0.00,0.00,NZD,web,,Auckland
ORD-00004-14,CUST-00004,2026-03-24T19:17:00.262656,COMPLETED,67.97,0.00,7.99,NZD,web,,Auckland
ORD-00004-15,CUST-00004,2026-04-14T19:19:00.262656,COMPLETED,157.95,0.00,0.00,NZD,web,,Auckland
ORD-00004-16,CUST-00004,2026-04-30T19:17:00.262656,COMPLETED,167.97,0.00,0.00,NZD,android,,Auckland
ORD-00004-17,CUST-00004,2026-05-20T18:14:00.262656,COMPLETED,86.96,0.00,0.00,NZD,ios,,Auckland
ORD-00004-18,CUST-00004,2026-06-11T21:19:00.262656,COMPLETED,145.94,0.00,0.00,NZD,web,,Auckland
ORD-00004-19,CUST-00004,2026-07-02T18:05:00.262656,COMPLETED,50.97,0.00,7.99,NZD,web,,Auckland
ORD-00004-20,CUST-00004,2026-07-24T20:59:00.262656,COMPLETED,87.95,0.00,7.99,NZD,web,,Auckland
ORD-00004-21,CUST-00004,2026-08-15T17:21:00.262656,COMPLETED,97.97,0.00,0.00,NZD,web,,Auckland
ORD-00005-01,CUST-00005,2026-04-27T11:47:00.262656,COMPLETED,47.98,0.00,7.99,NZD,web,,Napier
ORD-00005-02,CUST-00005,2026-05-24T21:04:00.262656,COMPLETED,189.97,0.00,0.00,NZD,android,,Napier
ORD-00005-03,CUST-00005,2026-06-20T18:18:00.262656,COMPLETED,63.97,0.00,7.99,NZD,web,,Napier
ORD-00005-04,CUST-00005,2026-07-11T19:33:00.262656,COMPLETED,47.97,0.00,7.99,NZD,web,,Napier
ORD-00005-05,CUST-00005,2026-08-06T20:33:00.262656,COMPLETED,26.98,0.00,7.99,NZD,web,,Napier
ORD-00006-01,CUST-00006,2026-01-29T21:53:00.262656,COMPLETED,82.98,0.00,7.99,NZD,android,,Wellington
ORD-00006-02,CUST-00006,2026-03-01T18:22:00.262656,COMPLETED,29.98,0.00,7.99,NZD,web,,Wellington
ORD-00006-03,CUST-00006,2026-04-08T19:22:00.262656,COMPLETED,104.52,18.45,0.00,NZD,ios,GIMME10,Wellington
